Year_age,3,4,5,6,7,8,9,10,11,12,13,14,+gp,FBAR5–10
1946,0.003,0.020,0.069,0.137,0.270,0.248,0.379,0.396,0.572,0.563,0.626,0.648,0.648,0.250
1947,0.002,0.021,0.090,0.187,0.387,0.294,0.450,0.446,0.692,0.635,0.689,0.781,0.781,0.309
1948,0.001,0.021,0.095,0.220,0.464,0.346,0.512,0.450,0.713,0.695,0.741,0.922,0.922,0.348
1949,0.002,0.030,0.138,0.301,0.473,0.367,0.459,0.476,0.771,0.752,0.788,1.028,1.028,0.369
1950,0.002,0.043,0.163,0.314,0.436,0.363,0.481,0.538,0.838,0.855,0.816,1.149,1.149,0.382
1951,0.010,0.078,0.231,0.343,0.445,0.392,0.496,0.567,0.781,0.866,0.841,1.197,1.197,0.413
1952,0.014,0.103,0.277,0.430,0.475,0.408,0.523,0.639,0.843,0.920,0.844,1.199,1.199,0.459
1953,0.021,0.112,0.251,0.360,0.402,0.373,0.473,0.612,0.813,0.823,0.799,1.021,1.021,0.412
1954,0.017,0.116,0.268,0.384,0.424,0.357,0.489,0.707,0.831,0.823,0.790,0.929,0.929,0.438
1955,0.015,0.108,0.295,0.494,0.497,0.509,0.565,0.751,0.895,0.866,0.790,0.862,0.862,0.518
1956,0.018,0.122,0.349,0.581,0.559,0.598,0.589,0.740,0.892,0.986,0.824,0.804,0.804,0.570
1957,0.020,0.137,0.291,0.529,0.548,0.588,0.536,0.674,0.880,0.914,0.821,0.719,0.719,0.528
1958,0.036,0.181,0.359,0.543,0.540,0.511,0.508,0.692,0.829,0.879,0.721,0.630,0.630,0.526
1959,0.036,0.203,0.425,0.524,0.526,0.527,0.552,0.721,0.786,0.801,0.708,0.644,0.644,0.546
1960,0.037,0.212,0.406,0.510,0.495,0.546,0.523,0.755,0.854,0.802,0.698,0.711,0.711,0.539
1961,0.039,0.225,0.491,0.576,0.546,0.644,0.696,0.849,0.897,0.863,0.742,0.748,0.748,0.634
1962,0.037,0.224,0.584,0.750,0.633,0.683,0.796,1.009,0.935,0.845,0.775,0.738,0.738,0.743
1963,0.023,0.194,0.584,0.800,0.759,0.773,0.893,1.083,1.080,0.851,0.802,0.735,0.735,0.815
1964,0.018,0.159,0.412,0.554,0.585,0.700,0.934,0.883,0.978,0.802,0.881,0.755,0.755,0.678
1965,0.023,0.143,0.364,0.459,0.472,0.589,0.785,0.798,0.805,0.670,0.891,0.758,0.758,0.578
1966,0.031,0.140,0.286,0.388,0.469,0.600,0.752,0.790,0.713,0.655,0.799,0.675,0.675,0.548
1967,0.029,0.155,0.265,0.329,0.463,0.639,0.828,0.811,0.771,0.665,0.792,0.610,0.610,0.556
1968,0.025,0.176,0.356,0.433,0.495,0.633,0.847,0.832,0.747,0.600,0.799,0.631,0.631,0.599
1969,0.026,0.182,0.404,0.482,0.630,0.811,1.006,0.922,0.835,0.631,0.757,0.620,0.620,0.709
1970,0.034,0.164,0.376,0.468,0.589,0.824,0.996,0.933,0.796,0.577,0.713,0.631,0.631,0.698
1971,0.029,0.155,0.306,0.355,0.505,0.810,0.981,0.920,0.801,0.604,0.691,0.617,0.617,0.646
1972,0.049,0.183,0.333,0.402,0.427,0.719,1.058,1.013,0.895,0.652,0.745,0.636,0.636,0.659
1973,0.139,0.226,0.386,0.439,0.459,0.698,0.921,0.861,0.845,0.673,0.757,0.621,0.621,0.627
1974,0.165,0.296,0.481,0.520,0.509,0.622,0.667,0.870,0.910,0.714,0.892,0.629,0.629,0.611
1975,0.113,0.277,0.507,0.622,0.641,0.729,0.721,0.728,0.937,0.778,0.952,0.599,0.599,0.658
1976,0.146,0.307,0.530,0.615,0.687,0.852,0.874,0.672,0.796,0.821,0.942,0.676,0.676,0.705
1977,0.131,0.335,0.634,0.678,0.707,0.901,1.128,0.857,0.894,0.811,1.052,0.810,0.810,0.818
1978,0.114,0.253,0.571,0.737,0.767,0.893,1.219,0.946,1.303,1.008,1.198,0.916,0.916,0.856
1979,0.055,0.202,0.410,0.622,0.711,0.804,1.094,0.992,1.295,1.095,1.124,1.009,1.009,0.772
1980,0.037,0.158,0.345,0.628,0.723,0.809,0.998,1.057,1.230,0.997,1.161,0.907,0.907,0.760
1981,0.031,0.141,0.283,0.581,0.784,0.973,1.159,0.976,1.071,0.937,1.044,0.836,0.836,0.793
1982,0.041,0.158,0.286,0.641,0.841,0.919,1.132,0.827,0.823,0.925,0.866,0.823,0.823,0.774
1983,0.027,0.164,0.300,0.549,0.903,1.080,1.068,0.848,0.714,0.726,0.802,0.866,0.866,0.791
1984,0.023,0.156,0.331,0.582,1.063,1.167,1.167,0.899,0.747,0.702,0.671,0.892,0.892,0.868
1985,0.039,0.162,0.390,0.667,0.945,1.149,0.930,0.779,0.758,0.655,0.594,0.950,0.950,0.810
1986,0.031,0.171,0.456,0.766,0.907,1.144,0.926,1.042,0.887,0.852,0.587,1.072,1.072,0.874
1987,0.039,0.155,0.470,0.828,1.013,1.117,0.893,1.249,0.976,1.002,0.636,1.255,1.255,0.928
1988,0.035,0.128,0.335,0.637,0.937,1.018,1.027,1.354,0.960,0.916,0.730,1.214,1.214,0.885
1989,0.031,0.107,0.252,0.457,0.644,0.835,0.818,1.001,0.755,0.710,0.697,1.430,1.430,0.668
1990,0.019,0.093,0.178,0.308,0.416,0.500,0.550,0.590,0.654,0.611,0.626,1.311,1.311,0.424
1991,0.020,0.101,0.212,0.343,0.435,0.471,0.505,0.483,0.496,0.593,0.571,1.264,1.264,0.408
1992,0.025,0.114,0.279,0.429,0.528,0.556,0.565,0.562,0.517,0.701,0.541,1.254,1.254,0.487
1993,0.014,0.110,0.315,0.522,0.618,0.658,0.694,0.715,0.690,0.828,0.677,1.226,1.226,0.587
1994,0.012,0.110,0.322,0.596,0.924,0.916,0.875,0.855,0.915,0.935,0.776,1.213,1.213,0.748
1995,0.014,0.117,0.323,0.605,0.932,0.895,0.950,0.924,1.010,0.963,0.854,1.125,1.125,0.772
1996,0.021,0.134,0.353,0.617,0.883,0.939,0.853,1.102,0.961,0.960,0.922,1.032,1.032,0.791
1997,0.022,0.169,0.447,0.684,0.895,1.202,1.128,1.271,1.029,1.018,0.921,0.936,0.936,0.938
1998,0.027,0.182,0.474,0.712,0.852,1.161,1.136,1.317,1.052,0.897,0.830,0.787,0.787,0.942
1999,0.015,0.150,0.464,0.682,0.869,1.101,1.224,1.299,0.956,0.883,0.693,0.697,0.697,0.940
2000,0.009,0.115,0.364,0.587,0.831,1.019,1.109,1.185,0.848,0.902,0.555,0.680,0.680,0.849
2001,0.009,0.096,0.294,0.532,0.755,0.926,0.890,1.051,0.736,0.770,0.444,0.716,0.716,0.741
2002,0.008,0.091,0.276,0.520,0.775,0.887,0.840,0.794,0.628,0.731,0.391,0.679,0.679,0.682
2003,0.010,0.089,0.284,0.473,0.729,0.812,0.776,0.748,0.572,0.633,0.364,0.647,0.647,0.637
2004,0.010,0.090,0.293,0.499,0.770,0.857,0.897,0.952,0.642,0.676,0.345,0.544,0.544,0.711
2005,0.011,0.102,0.318,0.516,0.742,0.869,0.956,0.897,0.677,0.747,0.348,0.491,0.491,0.716
2006,0.016,0.102,0.281,0.441,0.621,0.742,0.811,0.796,0.678,0.773,0.377,0.580,0.580,0.615
2007,0.018,0.091,0.241,0.348,0.451,0.545,0.566,0.542,0.646,0.751,0.389,0.507,0.507,0.449
2008,0.011,0.069,0.162,0.276,0.371,0.450,0.491,0.448,0.593,0.702,0.406,0.422,0.422,0.366
2009,0.010,0.058,0.132,0.221,0.320,0.357,0.464,0.378,0.541,0.757,0.449,0.365,0.365,0.312
2010,0.009,0.049,0.106,0.178,0.284,0.381,0.399,0.429,0.611,0.623,0.516,0.340,0.340,0.296
2011,0.006,0.048,0.105,0.161,0.257,0.356,0.454,0.545,0.577,0.527,0.504,0.282,0.282,0.313
2012,0.006,0.047,0.118,0.161,0.243,0.329,0.426,0.495,0.564,0.490,0.480,0.275,0.275,0.295
2013,0.007,0.048,0.122,0.189,0.271,0.366,0.454,0.530,0.577,0.500,0.466,0.306,0.306,0.322
2014,0.008,0.054,0.142,0.228,0.315,0.396,0.428,0.529,0.613,0.548,0.487,0.333,0.333,0.340
2015,0.010,0.056,0.150,0.269,0.327,0.398,0.371,0.517,0.761,0.624,0.523,0.368,0.368,0.339
2016,0.009,0.053,0.149,0.258,0.344,0.422,0.414,0.568,0.844,0.690,0.584,0.420,0.420,0.359
2017,0.010,0.058,0.154,0.274,0.361,0.483,0.481,0.605,0.920,0.776,0.653,0.464,0.464,0.393
2018,0.012,0.062,0.161,0.271,0.374,0.468,0.529,0.661,0.895,0.865,0.726,0.491,0.491,0.411
2019,0.009,0.066,0.163,0.261,0.385,0.511,0.537,0.717,0.863,0.882,0.744,0.487,0.487,0.429
2020,0.010,0.069,0.176,0.290,0.420,0.541,0.632,0.813,0.930,0.914,0.785,0.480,0.480,0.479
2021,0.013,0.077,0.214,0.358,0.492,0.586,0.756,0.959,0.961,1.047,0.840,0.482,0.482,0.561
2022,0.030,0.098,0.253,0.400,0.491,0.593,0.759,0.998,1.113,1.222,0.899,0.428,0.428,0.582
2023,0.047,0.111,0.250,0.380,0.467,0.608,0.757,1.070,1.125,1.275,0.874,0.386,0.386,0.589
